date,confiance,paris,succes,gains,profit,strategie
2021-01-01,FORT,13,9,12.200000000000001,-0.7999999999999989,PLACE
2021-01-01,Moyen,1,1,1.9,0.8999999999999999,PLACE
2021-01-02,FORT,21,15,22.4,1.3999999999999986,PLACE
2021-01-02,Moyen,13,7,16.8,3.8000000000000007,PLACE
2021-01-03,FORT,15,13,21.0,6.0,PLACE
2021-01-03,Moyen,11,11,21.9,10.899999999999999,PLACE
2021-01-03,SUPER,2,2,2.2,0.20000000000000018,PLACE
2021-01-04,FORT,11,8,12.4,1.4000000000000004,PLACE
2021-01-04,Moyen,13,8,14.4,1.4000000000000004,PLACE
2021-01-05,FORT,11,8,10.3,-0.6999999999999993,PLACE
2021-01-05,Moyen,12,3,6.8999999999999995,-5.1000000000000005,PLACE
2021-01-06,FORT,14,7,11.3,-2.6999999999999993,PLACE
2021-01-06,Moyen,10,7,13.5,3.5,PLACE
2021-01-07,FORT,14,12,17.8,3.8000000000000007,PLACE
2021-01-07,Moyen,9,6,12.6,3.5999999999999996,PLACE
2021-01-08,FORT,14,8,11.1,-2.9000000000000004,PLACE
2021-01-08,Moyen,11,2,3.3,-7.7,PLACE
2021-01-09,FORT,20,17,26.6,6.600000000000001,PLACE
2021-01-09,Moyen,12,8,14.0,2.0,PLACE
2021-01-09,SUPER,1,1,1.1,0.10000000000000009,PLACE
2021-01-10,FORT,17,11,16.0,-1.0,PLACE
2021-01-10,Moyen,8,4,8.8,0.8000000000000007,PLACE
2021-01-11,FORT,16,11,16.8,0.8000000000000007,PLACE
2021-01-11,Moyen,8,5,8.3,0.3000000000000007,PLACE
2021-01-12,FORT,12,11,16.9,4.899999999999999,PLACE
2021-01-12,Moyen,4,1,2.0,-2.0,PLACE
2021-01-13,FORT,17,11,16.1,-0.8999999999999986,PLACE
2021-01-13,Moyen,8,5,9.0,1.0,PLACE
2021-01-14,FORT,20,18,24.6,4.600000000000001,PLACE
2021-01-14,Moyen,12,4,7.0,-5.0,PLACE
2021-01-15,FORT,18,17,23.599999999999998,5.599999999999998,PLACE
2021-01-15,Moyen,4,4,6.5,2.5,PLACE
2021-01-15,SUPER,1,1,1.1,0.10000000000000009,PLACE
2021-01-16,FORT,21,18,26.6,5.600000000000001,PLACE
2021-01-16,Moyen,12,6,11.4,-0.5999999999999996,PLACE
2021-01-17,FORT,20,14,20.2,0.1999999999999993,PLACE
2021-01-17,Moyen,10,7,14.7,4.699999999999999,PLACE
2021-01-17,SUPER,1,1,1.4,0.3999999999999999,PLACE
2021-01-18,FORT,16,13,19.3,3.3000000000000007,PLACE
2021-01-18,Moyen,7,4,8.0,1.0,PLACE
2021-01-18,SUPER,1,1,1.1,0.10000000000000009,PLACE
2021-01-19,FORT,12,8,10.4,-1.5999999999999996,PLACE
2021-01-19,Moyen,12,3,6.0,-6.0,PLACE
2021-01-20,FORT,16,12,16.3,0.3000000000000007,PLACE
2021-01-20,Moyen,7,3,5.800000000000001,-1.1999999999999993,PLACE
2021-01-21,FORT,16,12,17.1,1.1000000000000014,PLACE
2021-01-21,Moyen,8,7,12.1,4.1,PLACE
2021-01-22,FORT,14,11,16.0,2.0,PLACE
2021-01-22,Moyen,9,1,2.2,-6.8,PLACE
2021-01-23,FORT,21,18,23.9,2.8999999999999986,PLACE
2021-01-23,Moyen,11,8,12.8,1.8000000000000007,PLACE
